Gene ID		C1	C2	C	H1	H2	H
TcCLB.511167.50	3022	3958	3490	2175	2224	2199.5
TcCLB.511661.80	1133	1492	1312.5	876	780	828
TcCLB.503809.10	1924	2605	2264.5	1503	1355	1429
TcCLB.510155.100	2699	3801	3250	2048	2054	2051
TcCLB.511301.120	3290	4064	3677	2379	2265	2322
TcCLB.503703.40	2127	2653	2390	1515	1510	1512.5
TcCLB.508141.60	1171	1620	1395.5	944	826	885
TcCLB.509023.70	655	787	721	450	467	458.5
TcCLB.506425.100	1746	2168	1957	1260	1237	1248.5
TcCLB.503843.20	1272	1527	1399.5	954	842	898
TcCLB.510519.50	2467	3090	2778.5	1870	1697	1783.5
TcCLB.508059.4	925	1019	972	620	637	628.5
TcCLB.511321.20	3143	4063	3603	2346	2327	2336.5
TcCLB.506327.60	1609	1964	1786.5	1202	1133	1167.5
TcCLB.504105.220	6623	9048	7835.5	5313	4931	5122
TcCLB.508909.100	1574	2153	1863.5	1306	1132	1219
